id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon,label
160,https,192.168.137.113,46328,111.6.225.35,443,6,0.7140000000000001,599,559,7,0.0211,0.8159,7.496,0
113,https,192.168.137.113,53435,111.13.100.3,443,6,1.0,248,208,9,0.3416,0.8837,7.1971,1
495,https,192.168.137.113,54703,61.135.169.125,443,6,0.76,511,471,25,0.0887,0.9084,7.843,1
214,https,192.168.137.113,54716,61.135.169.125,443,6,0.741,650,610,27,0.2158,0.9869,7.9566,1
151,https,192.168.137.113,45494,180.76.76.112,443,6,0.867,487,447,15,0.0409,0.8655,7.6945,1
382,https,192.168.137.113,37506,223.99.245.172,443,6,0.923,478,438,13,0.0081,0.9731,7.8762,0
317,https,192.168.137.113,36253,119.75.222.189,443,6,0.846,350,310,13,0.3286,0.9341,7.6699,2
379,https,192.168.137.113,34510,183.232.231.65,443,6,0.909,424,384,11,0.0169,0.9523,7.7368,0
91,https,192.168.137.113,57059,112.34.112.78,443,6,0.833,462,422,12,0.078,0.9602,7.79,2
478,https,192.168.137.113,49147,59.111.181.35,443,6,0.727,689,637,11,0.0537,0.9015,7.7959,1
328,https,192.168.137.113,39727,223.99.245.172,443,6,0.909,486,446,11,0.0188,0.9729,7.8547,1
335,https,192.168.137.113,36038,120.221.8.140,443,6,0.778,639,599,9,0.0033,0.8482,7.6453,1
287,https,192.168.137.113,50837,112.34.111.114,443,6,1.0,164,124,6,0.0214,0.6984,5.6043,2
311,https,192.168.137.113,52588,222.35.78.49,443,6,0.778,533,493,18,0.0178,0.9758,7.9304,0
237,https,192.168.137.113,39978,119.75.222.92,443,6,0.371,1059,1019,547,1.6313,0.9946,7.9968,1
339,https,192.168.137.113,55741,222.35.78.48,443,6,0.75,616,576,8,0.0056,0.765,7.3394,2
217,https,192.168.137.113,38951,111.13.101.221,443,6,0.867,476,436,15,0.0019,0.8346,7.6053,1
338,https,192.168.137.113,38908,111.13.101.221,443,6,1.0,566,526,9,0.0866,0.9582,7.7732,1
457,https,192.168.137.113,46332,111.6.225.35,443,6,0.7140000000000001,599,559,7,0.0207,0.8154,7.4982,1
392,https,192.168.137.113,49707,223.99.245.161,443,6,0.441,989,949,34,0.1469,0.9773,7.9797,0
416,https,192.168.137.113,40241,111.13.105.171,443,6,0.867,426,386,15,0.1421,0.8079999999999999,7.5115,0
66,https,192.168.137.113,48694,222.35.78.48,443,6,0.15,1235,1195,213,0.068,0.996,7.9986,2
179,https,192.168.137.113,51111,111.13.101.221,443,6,0.909,383,343,11,0.0038,0.9958,7.8816,2
104,https,192.168.137.113,38108,223.99.245.179,443,6,0.778,606,566,9,0.0018,0.8435,7.6106,0
29,https,192.168.137.113,36344,111.13.101.221,443,6,0.917,356,316,12,0.0031,0.9939,7.874,1
129,https,192.168.137.113,33595,111.6.172.48,443,6,0.75,659,619,8,0.0121,0.7552,7.3093,0
214,https,192.168.137.113,34749,120.221.12.30,443,6,0.556,725,685,27,0.0215,0.9495,7.9494,0
514,https,192.168.137.113,54736,61.135.169.125,443,6,0.833,457,417,12,0.0454,0.9697,7.8271,1
309,https,192.168.137.113,59740,111.13.101.221,443,6,1.0,300,260,10,0.0012,0.9904,7.805,0
461,https,192.168.137.113,36253,119.75.222.189,443,6,0.846,350,310,13,0.3286,0.9341,7.6699,0
